ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
42 MQB_71.1933.30.5 oro plana no_tiene si si 5 si no_tiene pájaros varios_palitos N/A N/A N/A N/A rectangular_tiras N/A N/A N/A N/A hilo_con_colgantes N/A N/A un_hilo
43 MQB_71.1935.38.8_D tumbaga plana masculino si si 2 si masculino_con_gonadas_hacia_abajo N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
44 MQB_71.1935.38.9_D tumbaga plana femenino si si 6 si femenino_herradura_hacia_abajo cachiporra dos_palitos bastones_diversos N/A N/A N/A semi_ovalo N/A N/A N/A N/A collar_largo N/A N/A un_hilo
45 MQB_71.1935.38.10_D oro plana no_tiene si si 0 no no_tiene N/A N/A N/A N/A N/A N/A no_tiene N/A N/A N/A N/A N/A N/A N/A N/A
46 MQB_71.1935.38.11_D tumbaga plana indeterminado si si 4 si indeterminado propulsor un_palito N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A indeterminado
47 MQB_71.1935.38.12_D tumbaga semi_plana no_tiene si si 4 si no_tiene propulsor N/A N/A N/A N/A N/A cilíndrico máscara N/A N/A N/A N/A N/A N/A un_hilo
48 MQB_71.1935.38.13_D tumbaga plana indeterminado si si 3 si indeterminado escudo ni_idea N/A N/A N/A N/A rectangular N/A N/A N/A N/A placa_espiral N/A N/A un_hilo
49 MQB_71.1935.38.14_D tumbaga plana no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A irregular N/A N/A N/A N/A con_dije N/A N/A dos_hilos
50 MQB_71.1935.38.34_D tumbaga plana no_tiene si si 4 si no_tiene recipiente N/A N/A N/A N/A N/A rectangular_tiras N/A N/A N/A N/A inidentificable N/A N/A dos_hilos
51 MO_O00084-1 oro con_nucleo no_tiene si si 2 si no_tiene cachiporra N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A N/A
52 MO_O00087-1 oro semi_plana indeterminado si si 3 si indeterminado varios_palitos N/A N/A N/A N/A N/A triangular N/A N/A N/A N/A inidentificable N/A N/A N/A
53 MO_O00140-1 tumbaga plana indeterminado si si 5 si indeterminado propulsor recipiente N/A N/A N/A N/A semi_ovalo N/A N/A topos N/A argollas N/A N/A adicionales
54 MO_O00142-1 tumbaga plana no_tiene si si 3 si no_tiene ni_idea N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A dos_hilos
55 MO_O00143-1 oro semi_plana masculino si si 5 si masculino_con_gonadas_hacia_abajo pájaros poporo N/A N/A N/A N/A colmena N/A N/A N/A N/A placa_maciza N/A N/A un_hilo
56 MO_O00144-1 oro plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_maciza N/A N/A N/A
